title,director,starring,releasedate,runtime
A Beautiful Mind,Ron Howard,"Russell Crowe,Ed Harris,Jennifer Connelly,Paul Bettany,Adam Goldberg,Judd Hirsch,Josh Lucas,Anthony Rapp,Christopher Plummer","December 13, 2001, (, premiere),December 21, 2001, (United States)",135 minutes
Gladiator,Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Derek Jacobi,Djimon Hounsou,Richard Harris","May 1, 2000, (,),May 5, 2000, (United States),May 12, 2000, (United Kingdom)",155 minutes
Chicago,Rob Marshall,"Renée Zellweger,Catherine Zeta-Jones,Richard Gere,Queen Latifah,John C. Reilly,Lucy Liu,Taye Diggs,Colm Feore","December 10, 2002, (,),December 27, 2002, (United States)",113 minutes
Crash,Paul Haggis,"Sandra Bullock,Matt Dillon,Jennifer Esposito,William Fichtner,Brendan Fraser,Terrence Howard,Chris ""Ludacris"" Bridges,Thandie Newton,Ryan Phillippe,Larenz Tate","September 10, 2004, (,),May 6, 2005, (United States)",112 minutes
The Artist,Michel Hazanavicius,"Jean Dujardin,Bérénice Bejo,James Cromwell,Penelope Ann Miller,Malcolm McDowell,Missi Pyle,Beth Grant,Ed Lauter,Joel Murray,Ken Davitian,John Goodman","15 May 2011, (,),12 October 2011, (France)",100 minutes
No Country for Old Men,"Joel Coen,Ethan Coen","Tommy Lee Jones,Javier Bardem,Josh Brolin","May 19, 2007, (,),November 9, 2007, (United States)",122 minutes
Argo,Ben Affleck,"Bryan Cranston,Alan Arkin,John Goodman","August 31, 2012, (,),October 12, 2012, (United States)",120 minutes
12 Years a Slave,Steve McQueen,"Chiwetel Ejiofor,Michael Fassbender,Benedict Cumberbatch,Paul Dano,Paul Giamatti,Lupita Nyong'o,Sarah Paulson,Alfre Woodard","August 30, 2013, (,),November 8, 2013, (United States),January 10, 2014, (United Kingdom)",134 minutes
Birdman,Alejandro G. Iñárritu,"Michael Keaton,Zach Galifianakis,Edward Norton,Andrea Riseborough,Amy Ryan,Emma Stone,Naomi Watts","August 27, 2014, (,),October 17, 2014, (United States)",119 minutes
Spotlight,Tom McCarthy,"Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,Brian d’Arcy James,Stanley Tucci","September 3, 2015, (,),November 6, 2015, (United States)",129 minutes
Moonlight,Barry Jenkins,"Trevante Rhodes,André Holland,Janelle Monáe,Ashton Sanders,Jharrel Jerome,Naomie Harris,Mahershala Ali","September 2, 2016, (,),October 21, 2016, (United States)",111 minutes
Green Book,Peter Farrelly,"Viggo Mortensen,Mahershala Ali,Linda Cardellini","September 11, 2018, (,),November 16, 2018, (United States)",130 minutes
Parasite,Bong Joon-ho,"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-shik,Park So-dam,Lee Jung-eun,Jang Hye-jin","21 May 2019, (,),30 May 2019, (South Korea)",132 minutes
